 ,Label,Area,Mean,StdDev,XM,YM,Major,Minor,Angle,Circ.,Median,Skew,Kurt,AR,Round,Solidity
1,blobs.gif,433,190.855,30.305,20.474,13.635,33.820,16.301,64.500,0.630,200,-0.571,-0.822,2.075,0.482,0.860
2,blobs.gif,185,179.286,21.883,63.623,4.682,20.467,11.508,2.974,0.763,184,-0.449,-0.153,1.778,0.562,0.951
3,blobs.gif,658,205.617,29.381,108.931,12.983,29.917,28.004,81.343,0.872,208,-0.844,0.171,1.068,0.936,0.967
4,blobs.gif,434,217.327,36.061,154.949,10.144,24.244,22.793,60.553,0.884,232,-1.013,-0.249,1.064,0.940,0.959
5,blobs.gif,477,212.143,29.904,247.633,13.596,30.876,19.670,87.421,0.821,224,-1.327,0.935,1.570,0.637,0.968
6,blobs.gif,285,204.295,36.565,197.731,16.281,20.458,17.738,70.284,0.926,216,-0.686,-0.809,1.153,0.867,0.938
7,blobs.gif,81,161.481,19.478,137.512,22.264,11.144,9.254,68.827,0.971,168,-0.290,-1.080,1.204,0.830,0.926
8,blobs.gif,278,174.849,25.472,219.177,28.278,22.171,15.965,85.153,0.854,176,-0.227,-1.039,1.389,0.720,0.919
9,blobs.gif,231,188.468,30.600,45.020,26.427,18.316,16.058,79.994,0.936,200,-0.432,-0.898,1.141,0.877,0.941
10,blobs.gif,30,147.200,13.053,1.158,26.893,12.873,2.967,90.274,0.406,152,-0.037,-1.176,4.338,0.230,0.870
11,blobs.gif,501,189.142,25.482,174.365,33.557,26.184,24.362,71.852,0.921,200,-0.866,-0.034,1.075,0.930,0.948
12,blobs.gif,660,171.697,20.530,73.517,41.711,33.520,25.070,57.641,0.858,168,0.030,-0.224,1.337,0.748,0.952
13,blobs.gif,99,165.253,21.233,8.196,45.319,12.650,9.965,70.999,0.971,168,-0.238,-1.046,1.269,0.788,0.943
14,blobs.gif,228,195.895,37.354,233.579,47.400,18.208,15.943,92.820,0.924,200,-0.215,-1.117,1.142,0.876,0.940
15,blobs.gif,448,209.036,35.670,139.057,55.120,26.243,21.736,96.428,0.915,224,-0.855,-0.472,1.207,0.828,0.947
16,blobs.gif,401,179.571,26.013,194.983,60.111,35.718,14.294,67.394,0.658,176,-0.034,-0.575,2.499,0.400,0.890
17,blobs.gif,520,193.985,29.256,28.712,58.288,27.975,23.667,71.086,0.912,192,-0.350,-0.322,1.182,0.846,0.952
18,blobs.gif,425,195.953,31.439,99.377,73.642,28.018,19.314,71.220,0.881,208,-0.720,-0.491,1.451,0.689,0.953
19,blobs.gif,271,199.970,35.220,214.629,71.081,21.564,16.001,72.699,0.881,208,-0.617,-0.867,1.348,0.742,0.922
20,blobs.gif,350,190.491,26.851,245.741,73.467,22.818,19.530,37.831,0.930,200,-0.689,-0.606,1.168,0.856,0.943
21,blobs.gif,159,183.346,29.235,168.029,73.177,15.748,12.856,70.553,0.933,192,-0.509,-1.015,1.225,0.816,0.930
22,blobs.gif,412,186.350,26.013,64.215,84.219,24.085,21.780,99.224,0.906,192,-0.575,-0.481,1.106,0.904,0.945
23,blobs.gif,426,201.840,36.423,129.973,84.217,31.332,17.311,17.588,0.699,208,-0.513,-0.873,1.810,0.553,0.869
24,blobs.gif,260,179.385,28.135,34.026,86.530,19.541,16.941,87.838,0.909,176,0.004,-0.664,1.153,0.867,0.932
25,blobs.gif,506,198.277,28.788,7.981,97.667,32.872,19.599,91.962,0.822,200,-0.619,-0.123,1.677,0.596,0.961
26,blobs.gif,289,187.875,30.281,222.965,95.232,20.402,18.035,62.012,0.922,192,-0.417,-0.781,1.131,0.884,0.935
